,Date,weighted_open
149,May 06  2019,25.067682917600102
150,May 05  2019,24.991827838935198
151,May 04  2019,25.021551860776075
152,May 03  2019,23.58425585422016
153,May 02  2019,22.95089499979871
154,May 01  2019,22.4064486251571
155,Apr 30  2019,21.840878628786903
156,Apr 29  2019,22.91075002684226
157,Apr 28  2019,21.991334399133557
158,Apr 27  2019,21.707362413420487
159,Apr 26  2019,21.82886932004224
160,Apr 25  2019,23.815601758496317
161,Apr 24  2019,23.6645302184763
162,Apr 23  2019,24.398514779559243
163,Apr 22  2019,24.22667439235758
164,Apr 21  2019,24.224718313354394
165,Apr 20  2019,23.746624128697434
166,Apr 19  2019,23.71206099177947
167,Apr 18  2019,23.567747562151503
168,Apr 17  2019,23.39327983319279
169,Apr 16  2019,22.959699669940687
170,Apr 15  2019,24.044984163611527
