,Date,weighted_Volume
230,Feb 14  2019,1230726.4988191645
231,Feb 13  2019,1470276.590415724
232,Feb 12  2019,1619620.0667722253
233,Feb 11  2019,1313705.0912379727
234,Feb 10  2019,1760280.5135674188
235,Feb 09  2019,1044900.2288177251
236,Feb 08  2019,1376855.817900732
237,Feb 07  2019,1364489.9181898672
238,Feb 06  2019,1928239.8137848706
239,Feb 05  2019,1012211.4091359422
240,Feb 04  2019,1075986.2569165742
241,Feb 03  2019,1348332.926716668
242,Feb 02  2019,916209.0633562105
243,Feb 01  2019,1117616.9517374288
244,Jan 31  2019,1087692.4809149606
245,Jan 30  2019,1369406.091316801
246,Jan 29  2019,1298221.9020529403
247,Jan 28  2019,1386462.8909453219
248,Jan 27  2019,866656.3869329722
249,Jan 26  2019,862330.637796274
250,Jan 25  2019,1399930.6267488939
251,Jan 24  2019,874944.7914550297
252,Jan 23  2019,1075379.2153000296
253,Jan 22  2019,1255463.373589646
254,Jan 21  2019,901706.0711580161
255,Jan 20  2019,1008592.5684282569
256,Jan 19  2019,984063.6209197014
257,Jan 18  2019,1032867.5387525312
258,Jan 17  2019,1265222.133131537
259,Jan 16  2019,1796411.9074655324
260,Jan 15  2019,1063493.469112704
261,Jan 14  2019,1491690.9773701143
262,Jan 13  2019,942598.1567512162
263,Jan 12  2019,1257090.2963731834
264,Jan 11  2019,1122207.7182749938
265,Jan 10  2019,1475893.5679571794
266,Jan 09  2019,1228940.84504514
267,Jan 08  2019,1443662.021631515
268,Jan 07  2019,1044927.066461645
269,Jan 06  2019,903497.6437618186
270,Jan 05  2019,837937.1811641728
271,Jan 04  2019,822940.0240128735
272,Jan 03  2019,1058519.729565457
273,Jan 02  2019,982258.6050972895
274,Jan 01  2019,988283.0002070147
275,Dec 31  2018,2133439.1248519127
276,Dec 30  2018,1394021.3743747026
277,Dec 29  2018,2086892.8660596954
278,Dec 28  2018,5571405.079950495
279,Dec 27  2018,855761.3641913993
280,Dec 26  2018,731478.8221245565
281,Dec 25  2018,1093616.0964769856
282,Dec 24  2018,1526395.3364929557
283,Dec 23  2018,1125430.6485091397
284,Dec 22  2018,804677.7965076682
285,Dec 21  2018,1004710.8046977093
286,Dec 20  2018,1198042.2330095763
287,Dec 19  2018,1054656.6462915633
288,Dec 18  2018,1159655.7047584006
289,Dec 17  2018,870166.54448093
