,Date,weighted_market
343,Oct 24  2018,108807176.25
344,Oct 23  2018,116444162.25
345,Oct 22  2018,88277352.0
346,Oct 21  2018,87627768.5
347,Oct 20  2018,88331115.75
348,Oct 19  2018,87978837.25
349,Oct 18  2018,89382306.75
350,Oct 17  2018,90304688.5
351,Oct 16  2018,92147674.5
352,Oct 15  2018,90090042.0
353,Oct 14  2018,84319661.75
354,Oct 13  2018,86013479.0
355,Oct 12  2018,82241314.75
356,Oct 11  2018,83005362.25
357,Oct 10  2018,93257100.0
358,Oct 09  2018,92302197.75
359,Oct 08  2018,99896027.0
360,Oct 07  2018,92098409.5
361,Oct 06  2018,92498852.25
362,Oct 05  2018,95225481.25
363,Oct 04  2018,91620449.25
364,Oct 03  2018,87612303.25
365,Oct 02  2018,88133469.5
366,Oct 01  2018,87734825.25
367,Sep 30  2018,87383148.5
368,Sep 29  2018,88440841.0
369,Sep 28  2018,87840748.5
370,Sep 27  2018,87574234.0
371,Sep 26  2018,83542481.0
372,Sep 25  2018,83502544.75
373,Sep 24  2018,85580884.75
374,Sep 23  2018,87633085.25
375,Sep 22  2018,86021895.75
376,Sep 21  2018,87352707.0
377,Sep 20  2018,83165222.25
378,Sep 19  2018,82569890.25
379,Sep 18  2018,81230153.5
380,Sep 17  2018,81331131.0
381,Sep 16  2018,84869034.25
382,Sep 15  2018,86169270.25
383,Sep 14  2018,85426791.25
384,Sep 13  2018,83447952.5
385,Sep 12  2018,77924434.0
386,Sep 11  2018,80026422.0
387,Sep 10  2018,81374198.0
388,Sep 09  2018,82750499.75
389,Sep 08  2018,79216695.25
390,Sep 07  2018,85427520.75
391,Sep 06  2018,83907598.0
392,Sep 05  2018,83343527.5
393,Sep 04  2018,95969059.25
394,Sep 03  2018,94965895.0
395,Sep 02  2018,98685853.75
396,Sep 01  2018,99422196.25
397,Aug 31  2018,94778505.0
398,Aug 30  2018,93872403.0
399,Aug 29  2018,92464216.5
400,Aug 28  2018,91823276.5
401,Aug 27  2018,90379812.25
402,Aug 26  2018,85425791.0
403,Aug 25  2018,88411897.75
404,Aug 24  2018,90252721.25
405,Aug 23  2018,82738720.75
406,Aug 22  2018,80234859.0
407,Aug 21  2018,83303074.75
408,Aug 20  2018,81572809.5
409,Aug 19  2018,88067380.5
410,Aug 18  2018,85857736.75
411,Aug 17  2018,93241524.0
412,Aug 16  2018,83443698.0
413,Aug 15  2018,82344327.5
414,Aug 14  2018,86311452.25
415,Aug 13  2018,85324973.25
416,Aug 12  2018,90912551.0
417,Aug 11  2018,92711926.75
418,Aug 10  2018,92371954.0
419,Aug 09  2018,103030701.5
420,Aug 08  2018,96610142.75
421,Aug 07  2018,102244291.75
422,Aug 06  2018,107176012.0
423,Aug 05  2018,107171778.5
424,Aug 04  2018,106584915.0
425,Aug 03  2018,118763386.5
426,Aug 02  2018,116276621.5
427,Aug 01  2018,124685931.0
428,Jul 31  2018,122793772.75
429,Jul 30  2018,131145972.5
430,Jul 29  2018,136900731.75
431,Jul 28  2018,139384901.25
432,Jul 27  2018,137573140.0
433,Jul 26  2018,138410641.75
434,Jul 25  2018,143678177.75
435,Jul 24  2018,145307013.0
436,Jul 23  2018,146477986.0
437,Jul 22  2018,150697168.75
438,Jul 21  2018,154444857.5
439,Jul 20  2018,156579861.0
440,Jul 19  2018,157458234.5
441,Jul 18  2018,154500488.75
442,Jul 17  2018,165134721.75
443,Jul 16  2018,153417318.0
444,Jul 15  2018,135037246.75
445,Jul 14  2018,123789956.25
446,Jul 13  2018,118044478.25
447,Jul 12  2018,117758470.75
448,Jul 11  2018,122951479.75
449,Jul 10  2018,122922492.0
450,Jul 09  2018,129395600.0
451,Jul 08  2018,131451923.25
452,Jul 07  2018,135076150.25
453,Jul 06  2018,138887558.5
454,Jul 05  2018,135237896.5
455,Jul 04  2018,132374669.75
456,Jul 03  2018,133638381.75
457,Jul 02  2018,134797143.5
458,Jul 01  2018,130639588.25
459,Jun 30  2018,128872919.25
460,Jun 29  2018,132069813.5
461,Jun 28  2018,115269760.75
462,Jun 27  2018,132528972.25
463,Jun 26  2018,135864137.0
464,Jun 25  2018,141770953.5
465,Jun 24  2018,139256284.0
466,Jun 23  2018,136710305.5
467,Jun 22  2018,145816139.0
468,Jun 21  2018,169750392.0
469,Jun 20  2018,172758022.0
470,Jun 19  2018,174392461.0
471,Jun 18  2018,176200799.5
472,Jun 17  2018,171503053.75
473,Jun 16  2018,169350849.25
474,Jun 15  2018,170664549.25
475,Jun 14  2018,185640210.75
476,Jun 13  2018,162187913.5
477,Jun 12  2018,163958494.75
478,Jun 11  2018,180300291.5
479,Jun 10  2018,176072257.75
480,Jun 09  2018,195249913.75
481,Jun 08  2018,204939347.25
482,Jun 07  2018,201920835.75
483,Jun 06  2018,190202948.75
484,Jun 05  2018,189977237.75
485,Jun 04  2018,188610809.0
486,Jun 03  2018,187077945.75
487,Jun 02  2018,193398014.75
488,Jun 01  2018,182302061.5
489,May 31  2018,177316079.0
490,May 30  2018,170799559.75
491,May 29  2018,176494476.75
492,May 28  2018,169463550.25
493,May 27  2018,173787257.5
494,May 26  2018,174453987.0
495,May 25  2018,191082350.0
496,May 24  2018,192942197.75
497,May 23  2018,193764474.75
498,May 22  2018,205899472.5
499,May 21  2018,218166984.25
500,May 20  2018,207505030.5
501,May 19  2018,200900267.5
502,May 18  2018,196236107.0
503,May 17  2018,175792451.5
504,May 16  2018,171741811.0
505,May 15  2018,180734248.0
506,May 14  2018,188823693.25
507,May 13  2018,170036715.5
508,May 12  2018,159490583.0
509,May 11  2018,161599589.5
510,May 10  2018,162994657.25
511,May 09  2018,158965338.0
512,May 08  2018,160928703.0
513,May 07  2018,163849448.0
514,May 06  2018,161651307.75
515,May 05  2018,165757476.25
516,May 04  2018,172601854.25
517,May 03  2018,158231290.0
518,May 02  2018,154729087.75
519,May 01  2018,153147232.75
520,Apr 30  2018,159168926.75
521,Apr 29  2018,158477850.25
522,Apr 28  2018,164860578.0
523,Apr 27  2018,157949693.0
524,Apr 26  2018,162570058.0
525,Apr 25  2018,148085975.25
526,Apr 24  2018,146901704.75
527,Apr 23  2018,126158248.25
528,Apr 22  2018,123361449.75
529,Apr 21  2018,129572182.25
530,Apr 20  2018,128080973.25
531,Apr 19  2018,121581617.5
532,Apr 18  2018,118870753.0
533,Apr 17  2018,118224537.5
534,Apr 16  2018,121876793.0
535,Apr 15  2018,124607430.0
536,Apr 14  2018,116139916.75
537,Apr 13  2018,113695296.0
538,Apr 12  2018,119054043.25
539,Apr 11  2018,102598479.25
540,Apr 10  2018,99512998.5
541,Apr 09  2018,93444615.25
542,Apr 08  2018,96220125.5
543,Apr 07  2018,96329353.0
544,Apr 06  2018,85172796.25
545,Apr 05  2018,84479924.25
546,Apr 04  2018,81952953.0
547,Apr 03  2018,90627555.0
548,Apr 02  2018,80845908.5
549,Apr 01  2018,76187142.25
550,Mar 31  2018,77023010.0
551,Mar 30  2018,74439836.75
552,Mar 29  2018,77397345.25
553,Mar 28  2018,88850641.75
554,Mar 27  2018,86917263.0
555,Mar 26  2018,90966498.5
556,Mar 25  2018,95315953.0
557,Mar 24  2018,97110919.25
558,Mar 23  2018,99752545.75
559,Mar 22  2018,94615940.0
560,Mar 21  2018,96241340.75
561,Mar 20  2018,97527468.75
562,Mar 19  2018,96986595.75
563,Mar 18  2018,93708670.25
564,Mar 17  2018,89647930.5
565,Mar 16  2018,101122148.75
566,Mar 15  2018,103773452.0
567,Mar 14  2018,99963127.5
568,Mar 13  2018,112505865.0
569,Mar 12  2018,112881001.75
570,Mar 11  2018,120147626.5
571,Mar 10  2018,114912258.75
572,Mar 09  2018,114780386.75
573,Mar 08  2018,110733701.75
574,Mar 07  2018,125440345.75
575,Mar 06  2018,137043173.5
576,Mar 05  2018,154994565.25
577,Mar 04  2018,152155978.25
578,Mar 03  2018,151822758.5
579,Mar 02  2018,150304282.75
580,Mar 01  2018,147870767.5
581,Feb 28  2018,138404276.5
582,Feb 27  2018,145361268.5
583,Feb 26  2018,140669568.5
584,Feb 25  2018,133851934.75
585,Feb 24  2018,133522973.0
586,Feb 23  2018,141340902.75
587,Feb 22  2018,134574258.0
588,Feb 21  2018,140646318.75
589,Feb 20  2018,150945255.0
590,Feb 19  2018,161566523.5
591,Feb 18  2018,155029296.25
592,Feb 17  2018,174496205.75
593,Feb 16  2018,163667676.75
594,Feb 15  2018,158867578.0
595,Feb 14  2018,147671078.25
596,Feb 13  2018,133422555.25
597,Feb 12  2018,140542766.25
598,Feb 11  2018,125973885.25
599,Feb 10  2018,140694710.25
600,Feb 09  2018,148200151.25
601,Feb 08  2018,132254520.5
602,Feb 07  2018,124735329.5
603,Feb 06  2018,131329519.5
604,Feb 05  2018,107274723.75
605,Feb 04  2018,134670495.25
606,Feb 03  2018,160043231.75
607,Feb 02  2018,146184130.0
608,Feb 01  2018,149141455.5
609,Jan 31  2018,175277485.25
610,Jan 30  2018,161035671.5
611,Jan 29  2018,177765443.5
612,Jan 28  2018,168888699.75
613,Jan 27  2018,166692781.5
614,Jan 26  2018,163219964.25
615,Jan 25  2018,165018374.0
616,Jan 24  2018,171231189.75
617,Jan 23  2018,167270822.75
618,Jan 22  2018,164125628.0
619,Jan 21  2018,182251775.75
620,Jan 20  2018,213779162.0
621,Jan 19  2018,186778762.5
622,Jan 18  2018,154736608.0
623,Jan 17  2018,158219158.0
624,Jan 16  2018,152354398.75
625,Jan 15  2018,192124494.25
626,Jan 14  2018,207021069.5
627,Jan 13  2018,222464839.0
628,Jan 12  2018,217676050.0
629,Jan 11  2018,192372399.25
630,Jan 10  2018,211461501.0
631,Jan 09  2018,219548183.0
632,Jan 08  2018,209366093.75
633,Jan 07  2018,210994372.75
634,Jan 06  2018,210138751.75
635,Jan 05  2018,200196967.25
636,Jan 04  2018,200821275.25
637,Jan 03  2018,193726336.25
638,Jan 02  2018,194705707.5
639,Jan 01  2018,194434931.5
640,Dec 31  2017,172563281.75
641,Dec 30  2017,153573307.0
642,Dec 29  2017,178921219.75
643,Dec 28  2017,160955614.75
644,Dec 27  2017,175193979.5
645,Dec 26  2017,171251060.75
646,Dec 25  2017,164650426.25
647,Dec 24  2017,161150593.25
648,Dec 23  2017,154704209.5
649,Dec 22  2017,138303707.25
650,Dec 21  2017,165128984.5
651,Dec 20  2017,167628389.5
652,Dec 19  2017,162303357.0
653,Dec 18  2017,165588035.0
654,Dec 17  2017,152712033.75
655,Dec 16  2017,150668210.75
656,Dec 15  2017,133106448.5
657,Dec 14  2017,133078701.75
658,Dec 13  2017,130719441.75
659,Dec 12  2017,129699312.0
660,Dec 11  2017,108383515.0
661,Dec 10  2017,105946580.5
662,Dec 09  2017,101247005.0
663,Dec 08  2017,107568124.25
664,Dec 07  2017,97755892.5
665,Dec 06  2017,97566380.75
666,Dec 05  2017,106550222.25
667,Dec 04  2017,110160222.5
668,Dec 03  2017,102875599.5
669,Dec 02  2017,104056731.0
670,Dec 01  2017,108933485.25
671,Nov 30  2017,105380559.5
672,Nov 29  2017,89409793.5
673,Nov 28  2017,103278036.5
674,Nov 27  2017,108999659.25
675,Nov 26  2017,110221740.25
676,Nov 25  2017,91969674.75
677,Nov 24  2017,88622883.5
678,Nov 23  2017,80274594.5
679,Nov 22  2017,77070479.75
680,Nov 21  2017,67137835.5
681,Nov 20  2017,67294411.5
682,Nov 19  2017,68449366.0
683,Nov 18  2017,68115809.75
684,Nov 17  2017,64399881.25
685,Nov 16  2017,66141171.25
686,Nov 15  2017,67789345.0
687,Nov 14  2017,66613329.5
688,Nov 13  2017,62636379.0
689,Nov 12  2017,57348030.75
690,Nov 11  2017,60478296.75
691,Nov 10  2017,60867863.5
692,Nov 09  2017,65627820.25
693,Nov 08  2017,63658936.0
694,Nov 07  2017,57727011.5
695,Nov 06  2017,57482569.25
696,Nov 05  2017,58513545.0
697,Nov 04  2017,58413259.25
698,Nov 03  2017,57613718.5
699,Nov 02  2017,53806785.0
700,Nov 01  2017,55960590.5
701,Oct 31  2017,57064059.0
702,Oct 30  2017,59594703.5
703,Oct 29  2017,57273081.0
704,Oct 28  2017,58888906.25
705,Oct 27  2017,55951590.0
706,Oct 26  2017,57064114.0
707,Oct 25  2017,63752836.5
708,Oct 24  2017,52192368.0
709,Oct 23  2017,45192733.5
710,Oct 22  2017,49310562.0
711,Oct 21  2017,47261050.25
712,Oct 20  2017,48283375.5
