,Date,weighted_High
149,May 06  2019,25.16299344954516
150,May 05  2019,25.2678284682673
151,May 04  2019,25.583952760802156
152,May 03  2019,25.32375844726327
153,May 02  2019,23.54714382354124
154,May 01  2019,23.08944696714237
155,Apr 30  2019,22.511021752771022
156,Apr 29  2019,23.071559438409796
157,Apr 28  2019,23.176186171392533
158,Apr 27  2019,22.14291026920099
159,Apr 26  2019,22.595973799007684
160,Apr 25  2019,23.91956662819095
161,Apr 24  2019,24.559691001817743
162,Apr 23  2019,25.09262400282332
163,Apr 22  2019,24.550410336797405
164,Apr 21  2019,24.518523701744343
165,Apr 20  2019,24.248460075025438
166,Apr 19  2019,24.195204042703033
167,Apr 18  2019,24.043125933347945
168,Apr 17  2019,23.6502060958992
169,Apr 16  2019,23.463417924998026
170,Apr 15  2019,24.407011194068946
