,Date,weighted_Low
149,May 06  2019,23.742713863426737
150,May 05  2019,24.14549076354528
151,May 04  2019,24.315953322818434
152,May 03  2019,23.43163397864394
153,May 02  2019,22.922333070861672
154,May 01  2019,22.377711377580773
155,Apr 30  2019,21.510559765835595
156,Apr 29  2019,21.68156840968678
157,Apr 28  2019,21.934220346245617
158,Apr 27  2019,21.51803464406159
159,Apr 26  2019,21.34585594826952
160,Apr 25  2019,21.480951851918082
161,Apr 24  2019,22.59147974293177
162,Apr 23  2019,23.8279744693907
163,Apr 22  2019,23.98833597763026
164,Apr 21  2019,23.627882215190006
165,Apr 20  2019,23.66137732490058
166,Apr 19  2019,23.47549280460175
167,Apr 18  2019,23.03533238123581
168,Apr 17  2019,23.088837641325387
169,Apr 16  2019,22.170984936752337
170,Apr 15  2019,22.739906461357897
