,Date,weighted_close
149,May 06  2019,24.68628508287544
150,May 05  2019,24.94443421065045
151,May 04  2019,25.0214059863548
152,May 03  2019,24.952868839694318
153,May 02  2019,23.424157825384295
154,May 01  2019,23.089164445884098
155,Apr 30  2019,22.293932950795288
156,Apr 29  2019,21.870707018227904
157,Apr 28  2019,22.901290744752302
158,Apr 27  2019,21.934609552001362
159,Apr 26  2019,21.69629502793256
160,Apr 25  2019,21.783371502050827
161,Apr 24  2019,23.731385324298305
162,Apr 23  2019,23.942132721353783
163,Apr 22  2019,24.445304223518818
164,Apr 21  2019,24.149005042580846
165,Apr 20  2019,24.17265320001983
166,Apr 19  2019,23.684145251804125
167,Apr 18  2019,23.824401635695967
168,Apr 17  2019,23.593090759603633
169,Apr 16  2019,23.387395511187037
170,Apr 15  2019,22.9780777347031
